#size	rtt
1	1.813000
1	1.878500
1	1.798500
1	1.705500
1	1.764000
1	1.677500
1	1.698500
1	1.722500
1	1.701500
1	1.675000
1	1.697500
1	1.860000
1	1.738500
1	1.708500
1	1.663500
1	1.712500
1	1.721000
1	1.697500
1	1.689500
1	1.700500
1	1.773500
1	1.725000
1	1.708000
1	1.708000
1	1.750000
1	1.725000
1	1.700500
1	1.858500
1	1.709000
1	1.725000
1	1.743500
1	1.705500
1	1.716000
1	1.714500
1	1.718500
1	1.697000
1	1.670500
1	1.697500
1	1.701500
1	1.724000
1	1.696500
1	1.694000
1	1.701000
1	1.758000
1	1.740500
1	1.845500
1	1.681500
1	1.682500
1	1.879000
1	1.697000
1	1.684000
1	1.728500
1	1.806000
1	1.714500
1	1.727000
1	1.699000
1	1.692000
1	1.736500
1	1.773000
1	1.722000
1	1.825000
1	1.701000
1	1.711000
1	1.758500
1	1.663500
1	1.694000
1	1.723500
1	1.699500
1	1.694500
1	1.714500
1	1.740500
1	1.709500
1	1.822500
1	1.705500
1	1.747500
1	1.749000
1	1.729500
1	1.738000
1	1.726500
1	1.664500
1	1.841000
1	1.729500
1	1.750000
1	1.689000
1	1.720000
1	1.786000
1	1.694000
1	1.781000
1	1.733500
1	1.730000
1	1.710000
1	1.705500
1	1.748000
1	1.675500
1	1.708000
1	1.716500
1	1.705000
1	1.680500
1	1.720000
1	1.723000
1	1.764500
1	1.837000
1	1.737000
1	1.743000
1	1.698000
1	1.672500
1	1.709500
1	1.795000
1	1.689000
1	1.877000
1	1.715500
1	1.720000
1	1.670500
1	1.708500
1	1.725500
1	1.913000
1	1.879500
1	1.745000
1	1.691000
1	1.744000
1	1.699000
1	1.693000
1	1.723500
1	1.753000
1	1.726500
1	1.698500
1	1.694000
1	1.694000
1	1.758500
1	1.698500
1	1.706500
1	1.692000
1	1.862000
1	1.751500
1	1.731500
1	1.674000
1	1.732000
1	1.712000
1	1.719000
1	1.689000
1	1.691000
1	1.708000
1	1.723000
1	1.701500
1	1.686000
1	1.674500
1	1.753000
1	1.716500
1	1.699500
1	1.719500
1	1.710000
1	1.794500
1	1.724000
1	1.703500
1	1.695000
1	1.755000
1	1.718000
1	1.698000
1	1.711500
1	1.714000
1	1.741500
1	1.733500
1	1.685500
1	1.718500
1	1.779500
1	1.784500
1	1.724000
1	1.986000
1	1.712500
1	1.723500
1	1.702000
1	1.697000
1	1.697500
1	1.735000
1	1.739500
1	1.690500
1	1.696000
1	1.731500
1	1.748000
1	1.694000
1	1.673500
1	1.721500
1	1.739500
1	1.748500
1	1.732500
1	1.702500
1	1.809000
1	1.743500
1	1.728500
1	1.722000
1	1.726500
1	1.726500
1	1.755000
1	1.703500
1	1.708500
1	1.711500
1	1.741000
1	1.731500
1	1.675000
1	1.718500
1	1.858500
1	1.692000
1	1.722500
1	1.752500
1	1.723000
1	1.695500
1	1.702000
1	1.725500
1	1.709500
1	1.815000
1	1.719500
1	1.716000
1	1.697000
1	1.731500
1	1.710500
1	1.709000
1	1.700000
1	1.715500
1	1.732000
1	1.714000
1	1.700500
1	1.713500
1	1.692000
1	1.682500
1	1.718500
1	1.745500
1	1.703500
1	1.697000
1	1.779500
1	2.297500
1	1.768500
1	1.702000
1	1.717000
1	1.701500
1	1.676500
1	1.832000
1	1.967500
1	1.688000
1	1.754500
1	1.734500
1	1.799500
1	1.684500
1	1.782500
1	1.730000
1	1.718500
1	1.702000
1	1.765000
1	1.705000
1	1.711500
1	1.710000
1	1.735500
1	1.727000
1	1.723500
1	1.748000
1	1.740000
1	1.701500
1	1.710500
1	1.746500
1	1.727500
1	1.704500
1	1.730000
1	1.693000
1	1.701500
1	1.701000
1	1.746000
1	1.708500
1	1.712000
1	1.736000
1	1.731500
1	1.710000
1	1.707500
1	1.736000
1	1.709500
1	1.682500
1	1.738500
1	1.709500
1	1.746500
1	1.694500
1	1.730000
1	1.851000
1	1.691500
1	1.744500
1	1.728500
1	1.703500
1	1.738000
1	1.710000
1	1.711000
1	1.723000
1	1.697000
1	1.714500
1	1.701000
1	1.802500
1	1.720000
1	1.733500
1	1.699000
1	1.733500
1	1.732500
1	1.733500
1	1.689000
1	1.725500
1	1.740500
1	1.710500
1	1.674000
1	1.727000
1	1.715000
1	1.710500
1	1.690000
1	1.705500
1	1.746000
1	1.765000
1	1.803500
1	1.713500
