rate_rps,streaminfer_tput,streaminfer_itl_mean,streaminfer_itl_p99,sglang_tput,sglang_itl_mean,sglang_itl_p99,sglang_completed,sglang_success_pct
25,6998.0,122.0,131.0,7213.25,78.86769230769231,91.25538461538461,5000.0,100.0
50,13756.0,148.0,166.0,11893.05625,132.51290322580644,154.9058064516129,10000.0,100.0
100,24246.0,214.0,266.0,15197.98125,342.6504444444445,458.42488888888886,20000.0,100.0
150,29739.0,269.0,349.0,15986.55,506.75533333333334,675.8328333333334,28787.0,95.95666666666666
